[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/sqlparse/exceptions.py first seen with mtime 1560183660.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/core/cache/backends/base.py first seen with mtime 1571919654.347783
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/sre_parse.py first seen with mtime 1530070005.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/template/backends/jinja2.py first seen with mtime 1571919654.431489
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/wsgiref/__init__.py first seen with mtime 1530070007.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/types.py first seen with mtime 1530070005.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/lib-dynload/_struct.cpython-37m-darwin.so first seen with mtime 1530069985.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/urllib/parse.py first seen with mtime 1530070007.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/email/_encoded_words.py first seen with mtime 1530070007.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/asyncio/__init__.py first seen with mtime 1530070006.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/utils/ipv6.py first seen with mtime 1571919654.445905
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/db/models/sql/__init__.py first seen with mtime 1571919654.402325
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/wsgiref/util.py first seen with mtime 1530070007.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/asyncio/base_futures.py first seen with mtime 1530070006.0
[18/Nov/2019 12:28:38] DEBUG [django.utils.autoreload:351] File /Library/Frameworks/Python.framework/Versions/3.7/lib/python3.7/site-packages/django/db/models/sql/where.py first seen with mtime 1571919654.404734
